Node	C>T_1	C>T_2	C>T_3	C>T_4	C>T_5	C>T_6	C>T_7	C>T_8	C>T_9	C>T_10	G>A_11	G>A_12	G>A_13	G>A_14	G>A_15	G>A_16	G>A_17	G>A_18	G>A_19	G>A_20	D>V(11Substitution)_1	D>V(11Substitution)_2	D>V(11Substitution)_3	D>V(11Substitution)_4	D>V(11Substitution)_5	D>V(11Substitution)_6	D>V(11Substitution)_7	D>V(11Substitution)_8	D>V(11Substitution)_9	D>V(11Substitution)_10	H>B(11Substitution)_11	H>B(11Substitution)_12	H>B(11Substitution)_13	H>B(11Substitution)_14	H>B(11Substitution)_15	H>B(11Substitution)_16	H>B(11Substitution)_17	H>B(11Substitution)_18	H>B(11Substitution)_19	H>B(11Substitution)_20	considered_Matches
Bacillus_mycoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus_pseudomycoides	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.0	0.0	0.0	0.030303030303030304	0.0	0.06060606060606061	0.030303030303030304	0.0	0.0	0.0	0.030303030303030304	0.0	0.0	0.0	0.030303030303030304	0.0	0.0	0.030303030303030304	0.0	0.030303030303030304	3
Bacillus_sp._JAS24-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus_thuringiensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus_thuringiensis_serovar_galleriae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus_thuringiensis_serovar_indiana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus_wiedmannii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella_bacilliformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella_henselae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella_quintana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella_quintana_RM-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blastomyces_dermatitidis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella	0.375	0.22340425531914893	0.10638297872340426	0.4024390243902439	0.375	0	0.0125	0.2564102564102564	0	0	0	0.0425531914893617	0.13333333333333333	0	0	0.4716981132075472	0.28	0.07954545454545454	0.4157303370786517	0.625	0.0197793837961202	0.011791555724610119	0.006466337010270064	0.0197793837961202	0.013693419551160138	0.002282236591860023	0.012932674020540129	0.02092050209205021	0.0041841004184100415	0.006846709775580069	0.0015214910612400153	0.0098896918980601	0.011791555724610119	0.007607455306200076	0.004564473183720046	0.02130087485736021	0.015214910612400151	0.015214910612400151	0.026626093571700264	0.020540129326740205	239
Bordetella_avium_197N	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06060606060606061	0.0909090909090909	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06060606060606061	0.06060606060606061	0.0	0.0	0.0	0.0	0.0	0.06060606060606061	0.0	3
Bordetella_bronchialis	0.5	0	0.25	0	0	0	0	0	0	0	0.5	0	0	0	0.5	0.3333333333333333	0	0	0.5	0.5	0.01818181818181818	0.0	0.03636363636363636	0.0	0.0	0.0	0.01818181818181818	0.0	0.01818181818181818	0.0	0.01818181818181818	0.0	0.01818181818181818	0.0	0.01818181818181818	0.01818181818181818	0.01818181818181818	0.03636363636363636	0.01818181818181818	0.01818181818181818	5
Bordetella_bronchiseptica	0.3333333333333333	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.3333333333333333	0	0.00909090909090909	0.00909090909090909	0.03636363636363636	0.03636363636363636	0.02727272727272727	0.00909090909090909	0.0	0.01818181818181818	0.03636363636363636	0.05454545454545454	0.0	0.0	0.00909090909090909	0.0	0.00909090909090909	0.0	0.0	0.01818181818181818	0.01818181818181818	0.0	10
Bordetella_flabilis	0	0.5	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0.25	0.012987012987012988	0.025974025974025976	0.03896103896103896	0.03896103896103896	0.012987012987012988	0.0	0.0	0.0	0.0	0.0	0.0	0.025974025974025976	0.0	0.025974025974025976	0.025974025974025976	0.025974025974025976	0.03896103896103896	0.012987012987012988	0.012987012987012988	0.012987012987012988	7
Bordetella_genomosp._13	1.0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.045454545454545456	0.0	0.045454545454545456	0.0	0.0	0.022727272727272728	0.0	0.0	0.022727272727272728	0.022727272727272728	0.0	0.022727272727272728	0.045454545454545456	0.022727272727272728	0.0	0.022727272727272728	0.0	0.0	0.0	0.0	4
Bordetella_genomosp._6	0.5	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0.06060606060606061	0.030303030303030304	0.0	0.0	0.030303030303030304	0.0	0.030303030303030304	0.0	0.0	0.030303030303030304	0.030303030303030304	0.030303030303030304	0.0	0.0	0.0	0.030303030303030304	0.0	0.0	0.0	0.0	3
Bordetella_genomosp._8	1.0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0.045454545454545456	0.0	0.045454545454545456	0.022727272727272728	0.0	0.022727272727272728	0.0	0.022727272727272728	0.045454545454545456	0.0	0.022727272727272728	0.0	0.0	0.0	0.0	0.0	0.022727272727272728	0.0	0.0	0.0	4
Bordetella_genomosp._9	0.5	0	0.6666666666666666	0.25	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0.6	0	0.045454545454545456	0.03409090909090909	0.022727272727272728	0.011363636363636364	0.0	0.0	0.0	0.011363636363636364	0.0	0.03409090909090909	0.0	0.0	0.0	0.011363636363636364	0.011363636363636364	0.0	0.011363636363636364	0.045454545454545456	0.03409090909090909	0.022727272727272728	8
Bordetella_hinzii	0.25	1.0	0.6666666666666666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.6	0.5	0.025974025974025976	0.03896103896103896	0.05194805194805195	0.03896103896103896	0.0	0.0	0.012987012987012988	0.0	0.012987012987012988	0.0	0.0	0.012987012987012988	0.012987012987012988	0.012987012987012988	0.0	0.012987012987012988	0.012987012987012988	0.012987012987012988	0.05194805194805195	0.012987012987012988	7
Bordetella_holmesii	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0.030303030303030304	0.06060606060606061	0.0	0.06060606060606061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.030303030303030304	0.0	0.0	0.06060606060606061	0.0	0.0	0.0	3
Bordetella_parapertussis	0	0	0	0	1.0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.09090909090909091	0.0	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.0	1
Bordetella_pertussis	0.8333333333333334	0.8095238095238095	0.025	0	0.10344827586206896	0.8421052631578947	0	0	0	0	0	0	0.030303030303030304	0	0.9375	0.029411764705882353	0	0.7777777777777778	1.0	0	0.06093906093906094	0.07692307692307693	0.016983016983016984	0.0	0.03396603396603397	0.023976023976023973	0.05994005994005994	0.03396603396603397	0.02997002997002997	0.0	0.0	0.02997002997002997	9.99000999000999E-4	0.0029970029970029966	0.05994005994005994	0.03096903096903097	9.99000999000999E-4	0.007992007992007992	0.03296703296703297	0.0	91
Bordetella_pertussis_137	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00909090909090909	0.0	0.0	10
Bordetella_pertussis_18323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella_petrii	0.2	0.5	0.6666666666666666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	1.0	0.024793388429752063	0.03305785123966942	0.024793388429752063	0.008264462809917356	0.0	0.0	0.0	0.0	0.0	0.008264462809917356	0.008264462809917356	0.0	0.0	0.03305785123966942	0.008264462809917356	0.0	0.024793388429752063	0.0	0.01652892561983471	0.03305785123966942	11
Bordetella_pseudohinzii	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0.022727272727272728	0.0	0.045454545454545456	0.045454545454545456	0.045454545454545456	0.0	0.0	0.0	0.022727272727272728	0.0	0.022727272727272728	0.022727272727272728	0.0	0.0	0.0	0.0	0.045454545454545456	0.022727272727272728	0.0	0.022727272727272728	4
Bordetella_sp._H567	1.0	0	0.5	0	0.09090909090909091	0	0	0	0	0	0	0	0	0	0	0	1.0	0.5	0.3333333333333333	0.2	0.01818181818181818	0.0	0.01818181818181818	0.024242424242424242	0.006060606060606061	0.0	0.0	0.012121212121212121	0.024242424242424242	0.0	0.0	0.0303030303030303	0.0	0.048484848484848485	0.04242424242424243	0.012121212121212121	0.03636363636363636	0.024242424242424242	0.012121212121212121	0.01818181818181818	15
Bordetella_sp._HZ20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella_sp._N	0	0	0.5	0.6666666666666666	0.3333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.3333333333333333	0	0.0	0.0	0.04040404040404041	0.04040404040404041	0.020202020202020204	0.04040404040404041	0.020202020202020204	0.010101010101010102	0.04040404040404041	0.0303030303030303	0.0303030303030303	0.010101010101010102	0.0	0.0	0.010101010101010102	0.0	0.010101010101010102	0.04040404040404041	0.0303030303030303	0.0	9
Bordetella_trematum	0.8	0	0.2	0.2222222222222222	0	0.75	1.0	0.2	0.25	0	0	0	0	0.3333333333333333	0	0	0	0	0.25	1.0	0.05454545454545454	0.0	0.02727272727272727	0.01818181818181818	0.0	0.02727272727272727	0.02727272727272727	0.00909090909090909	0.02727272727272727	0.01818181818181818	0.01818181818181818	0.00909090909090909	0.00909090909090909	0.01818181818181818	0.0	0.01818181818181818	0.01818181818181818	0.0	0.03636363636363636	0.045454545454545456	10
Borrelia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Borrelia_anserina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Borrelia_anserina_BA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Borrelia_crocidurae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Borrelia_recurrentis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Borreliaceae	1.0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0374331550802139	0.0	0.0	0.053475935828877004	0.0	0.053475935828877004	0.0	0.0	0.0	0.0	0.0	0.0320855614973262	0.0	0.0	0.0320855614973262	0.0	0.08556149732620322	0.08556149732620322	0.0	0.0	17
Borreliella_afzelii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella_afzelii_K78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella_burgdorferi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella_garinii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brucella	0.2	0.8064516129032258	0.15384615384615385	0.2	0	0.2	0	0	0	0	0.038461538461538464	0	0	0	0	0.4166666666666667	0.7741935483870968	0	0	0.625	0.002797202797202797	0.03776223776223776	0.033566433566433566	0.006993006993006993	0.005594405594405594	0.004195804195804196	0.006993006993006993	0.004195804195804196	0.002797202797202797	0.00979020979020979	0.0013986013986013986	0.0013986013986013986	0.004195804195804196	0.005594405594405594	0.0	0.04055944055944056	0.033566433566433566	0.005594405594405594	0.004195804195804196	0.011188811188811189	65
Brucella_abortus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_abortus_bv._6_str._870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_canis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_inopinata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_melitensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_microti	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_ovis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_ovis_ATCC_25840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_pinnipedialis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_sp._09RB8471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_sp._09RB8910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_sp._10RB9215	0	0.25	1.0	0	0.25	0	0	0	0	0	0	0.5	0	0	0.25	0	0	1.0	0.25	0	0.0	0.012987012987012988	0.025974025974025976	0.0	0.012987012987012988	0.0	0.025974025974025976	0.0	0.0	0.012987012987012988	0.0	0.012987012987012988	0.0	0.012987012987012988	0.025974025974025976	0.012987012987012988	0.012987012987012988	0.025974025974025976	0.025974025974025976	0.012987012987012988	7
Brucella_sp._141012304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_sp._2280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_sp._BO2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_suis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_vulpis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brucellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia_cepacia	0.8181818181818182	0	0.4	0	0.18181818181818182	0	0	0	0.3333333333333333	0	0	0.25	0	0	0	0.25	0.5	0.2	0	0.42857142857142855	0.0430622009569378	0.04784688995215311	0.019138755980861243	0.0	0.009569377990430622	0.0	0.0	0.009569377990430622	0.014354066985645932	0.0	0.03827751196172249	0.004784688995215311	0.014354066985645932	0.009569377990430622	0.014354066985645932	0.004784688995215311	0.023923444976076555	0.009569377990430622	0.0	0.05263157894736842	19
Burkholderia_cepacia_ATCC_25416	0	0	0.21428571428571427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7692307692307693	0	0.0	0.0	0.01948051948051948	0.0	0.0	0.07142857142857142	0.0	0.0	0.01948051948051948	0.0	0.0	0.0	0.05194805194805195	0.012987012987012988	0.0	0.05194805194805195	0.05194805194805195	0.0	0.06493506493506493	0.0	14
Burkholderia_cepacia_JBK9	1.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0.6666666666666666	0	0	0.09090909090909091	0.022727272727272728	0.0	0.0	0.0	0.06818181818181818	0.0	0.0	0.0	0.0	0.0	0.022727272727272728	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.0	0.022727272727272728	4
Burkholderia_gladioli	0.1	0.44	0.6470588235294118	0	0	0	0	0	0.15384615384615385	0	0	0	0	0	0.6666666666666666	0	0.3333333333333333	0.14285714285714285	0.32	0.7333333333333333	0.0021645021645021645	0.030303030303030304	0.032467532467532464	0.0	0.0	0.01948051948051948	0.006493506493506493	0.017316017316017316	0.004329004329004329	0.008658008658008658	0.017316017316017316	0.004329004329004329	0.0	0.004329004329004329	0.01948051948051948	0.02813852813852814	0.006493506493506493	0.010822510822510822	0.032467532467532464	0.04329004329004329	42
Burkholderia_gladioli_BSR3	0	0	0	0	0.6	0	0	0.4	0	0	0	0	0	0	0	0	1.0	0	0	0	0.0	0.0	0.0	0.0	0.05454545454545454	0.0	0.03636363636363636	0.03636363636363636	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03636363636363636	0.03636363636363636	0.0	0.0	5
Burkholderia_gladioli_pv._gladioli	0.5	0.2857142857142857	0.3103448275862069	0.6428571428571429	0	0	0	0	0	0	0	0	0	0	0	0.24	0.4	0.2222222222222222	0.1111111111111111	0.25	0.01652892561983471	0.01652892561983471	0.01859504132231405	0.026859504132231406	0.004132231404958678	0.01859504132231405	0.012396694214876032	0.006198347107438016	0.004132231404958678	0.008264462809917356	0.004132231404958678	0.008264462809917356	0.012396694214876032	0.012396694214876032	0.0	0.014462809917355372	0.03099173553719008	0.02066115702479339	0.02066115702479339	0.026859504132231406	44
Burkholderia_mallei	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.09090909090909091	0.0	0.09090909090909091	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
Burkholderia_mallei_NCTC_10229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia_mallei_NCTC_10247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia_multivorans	0.3333333333333333	0.16	0.8	0	0.030303030303030304	0	0.14814814814814814	0	0	0.041666666666666664	0	0.25	0	0	0	0.782608695652174	0.2	0.10714285714285714	0.4444444444444444	0.6	0.00894187779433681	0.03874813710879285	0.03278688524590164	0.004470938897168405	0.007451564828614009	0.0029806259314456036	0.00894187779433681	0.03278688524590164	0.0	0.011922503725782414	0.004470938897168405	0.005961251862891207	0.0	0.0014903129657228018	0.004470938897168405	0.03129657228017884	0.029806259314456036	0.007451564828614009	0.03278688524590164	0.011922503725782414	61
Burkholderia_multivorans_ATCC_17616	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.030303030303030304	0.0	0.0	0.04545454545454545	0.04545454545454545	0.015151515151515152	0.0	0.0	0.030303030303030304	0.0	0.0	0.0	0.015151515151515152	0.0	0.0	0.0	0.06060606060606061	0.0	0.0	0.015151515151515152	6
Burkholderia_multivorans_ATCC_BAA-247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.0	0.0	0.0	0.0	0.045454545454545456	0.045454545454545456	2
Burkholderia_pseudomallei	0.5862068965517241	0.5714285714285714	0.23728813559322035	0.041666666666666664	0.12903225806451613	0.525	0.11627906976744186	0.125	0	0	0	0	0.016666666666666666	0	0.18518518518518517	0	0.9047619047619048	0.10909090909090909	0.5526315789473685	0	0.02766798418972332	0.015019762845849802	0.013438735177865613	0.011067193675889328	0.007905138339920948	0.016600790513833993	0.011857707509881422	0.007114624505928854	0.0	0.017391304347826087	7.905138339920949E-4	0.0	0.02292490118577075	0.018972332015810275	0.010276679841897235	0.0031620553359683794	0.03873517786561265	0.005533596837944664	0.02055335968379447	0.011067193675889328	115
Burkholderia_pseudomallei_1106b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia_pseudomallei_1710b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia_pseudomallei_7894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia_pseudomallei_B03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.0	0.0	0.0	0.0	2
Burkholderia_pseudomallei_MSHR1153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia_pseudomallei_MSHR2543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	0.0	0.0	0.0	0.0	0.030303030303030304	0.030303030303030304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.030303030303030304	0.0	0.030303030303030304	0.0	0.030303030303030304	0.030303030303030304	0.030303030303030304	3
Burkholderia_pseudomallei_MSHR346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia_pseudomallei_MSHR435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
